sample_id,regime,tau_norm,s1,s2,s3,s4,s5,k_star,norm_at_kstar
106,threshold,5.0,-301.954833984375,14.032882690429688,15928.6240234375,61.40205764770508,5.297713279724121,248,5.297713279724121
107,threshold,5.0,-345.2259216308594,18.176109313964844,13944.953125,59.74523162841797,6.029280185699463,248,6.029280185699463
108,threshold,5.0,-254.4264678955078,13.136049270629883,11992.4658203125,57.55179214477539,5.125631332397461,248,5.125631332397461
109,threshold,5.0,-467.16912841796875,26.77756118774414,17061.84375,53.056861877441406,7.318136692047119,248,7.318136692047119
110,threshold,5.0,-187.2051239013672,12.414108276367188,11300.033203125,49.982460021972656,4.938802719116211,168,4.982791900634766
111,threshold,5.0,-264.6462097167969,14.298001289367676,9095.0205078125,60.163124084472656,5.347523212432861,248,5.347523212432861
112,threshold,5.0,-209.333251953125,12.41337776184082,10490.1533203125,53.73326110839844,4.966030120849609,227,4.982645511627197
113,threshold,5.0,-420.0748291015625,20.20025634765625,18846.1953125,60.48543930053711,6.356139659881592,248,6.356139659881592
114,threshold,5.0,-291.6982421875,14.6163969039917,12064.5986328125,62.574527740478516,5.406735897064209,248,5.406735897064209
115,threshold,5.0,-271.45770263671875,15.559212684631348,9796.8486328125,58.689334869384766,5.5783891677856445,248,5.5783891677856445
116,threshold,5.0,-224.3892822265625,12.403181076049805,9480.84375,56.59740447998047,4.959321975708008,217,4.980598449707031
117,threshold,5.0,-337.7127685546875,17.054454803466797,12321.1416015625,64.02564239501953,5.840283393859863,248,5.840283393859863
118,threshold,5.0,-251.59530639648438,12.419364929199219,12742.099609375,58.79875564575195,4.968541145324707,206,4.983846664428711
119,threshold,5.0,-221.37435913085938,12.498479843139648,10974.412109375,54.472511291503906,4.987949848175049,240,4.999695777893066
120,threshold,5.0,-331.1845703125,17.240755081176758,13854.0966796875,63.46086883544922,5.872096061706543,248,5.872096061706543
121,threshold,5.0,-231.26309204101562,12.444473266601562,11032.8369140625,56.59528732299805,4.959817886352539,217,4.988882064819336
122,threshold,5.0,-334.1035461425781,13.88054084777832,20522.29296875,54.84079360961914,5.26887845993042,248,5.26887845993042
123,threshold,5.0,-247.74224853515625,13.55824089050293,11910.8662109375,56.252296447753906,5.207348823547363,248,5.207348823547363
124,threshold,5.0,-220.67132568359375,12.464920997619629,8974.650390625,54.53874969482422,4.9730658531188965,233,4.992979049682617
125,threshold,5.0,-316.62451171875,18.437152862548828,11737.501953125,56.78052520751953,6.072421550750732,248,6.072421550750732
126,threshold,5.0,-254.36947631835938,12.618363380432129,12260.12109375,58.08921813964844,5.023616790771484,248,5.023616790771484
127,threshold,5.0,-238.53875732421875,12.422086715698242,10332.9296875,58.834747314453125,4.966904163360596,212,4.984393119812012
128,threshold,5.0,-261.87060546875,12.493005752563477,13572.9580078125,58.471038818359375,4.989080905914307,223,4.998600959777832
129,threshold,5.0,-243.16058349609375,12.48794174194336,11682.2333984375,59.37470626831055,4.988680362701416,234,4.99758768081665
130,threshold,5.0,-255.78536987304688,12.451438903808594,14092.6396484375,57.96974182128906,4.977155685424805,220,4.990278244018555
131,threshold,5.0,-232.77487182617188,12.425409317016602,11380.48046875,56.25324249267578,4.98505973815918,248,4.98505973815918
132,threshold,5.0,-213.3146514892578,12.410646438598633,9031.6025390625,54.32229995727539,4.959192276000977,215,4.982097148895264
133,threshold,5.0,-302.3026123046875,13.995842933654785,14514.7529296875,60.62352752685547,5.290717124938965,248,5.290717124938965
134,threshold,5.0,-258.3887939453125,12.471325874328613,13057.3115234375,58.45553970336914,4.979263782501221,232,4.994261741638184
135,threshold,5.0,-266.579345703125,14.09345817565918,12528.255859375,58.574405670166016,5.3091349601745605,248,5.3091349601745605
136,threshold,5.0,-222.5985107421875,12.460275650024414,11711.8056640625,54.26793670654297,4.964658260345459,180,4.992049217224121
137,threshold,5.0,-242.08596801757812,12.462199211120605,9961.6083984375,59.19892501831055,4.978649139404297,242,4.992434024810791
138,threshold,5.0,-273.60626220703125,13.64468765258789,14788.615234375,59.81109619140625,5.223923206329346,248,5.223923206329346
139,threshold,5.0,-299.47509765625,15.343339920043945,15823.181640625,57.17213439941406,5.53955602645874,248,5.53955602645874
140,threshold,5.0,-425.12548828125,19.022689819335938,22067.869140625,66.09634399414062,6.168094158172607,248,6.168094158172607
141,threshold,5.0,-344.1904296875,14.970640182495117,20146.068359375,56.472190856933594,5.47186279296875,248,5.47186279296875
142,threshold,5.0,-287.2989196777344,13.759264945983887,12918.353515625,58.93791198730469,5.245810508728027,248,5.245810508728027
143,threshold,5.0,-224.84716796875,12.481876373291016,11689.4541015625,54.97947311401367,4.974948406219482,195,4.996374130249023
144,threshold,5.0,-389.8968200683594,20.775842666625977,16090.4306640625,60.81262969970703,6.446059703826904,248,6.446059703826904
145,threshold,5.0,-338.29571533203125,17.2596378326416,17055.416015625,58.79955291748047,5.875310897827148,248,5.875310897827148
146,threshold,5.0,-326.906494140625,15.847805976867676,13009.935546875,65.07028198242188,5.629885673522949,248,5.629885673522949
147,threshold,5.0,-219.81536865234375,12.46779727935791,10402.5302734375,54.481842041015625,4.969679832458496,210,4.993555068969727
148,threshold,5.0,-227.08554077148438,12.452763557434082,13295.544921875,56.89104461669922,4.977059364318848,177,4.990543365478516
149,threshold,5.0,-573.67041015625,29.259239196777344,26158.36328125,64.35745239257812,7.649737358093262,248,7.649737358093262
150,threshold,5.0,-201.2549285888672,12.484163284301758,10270.58984375,49.017425537109375,4.98011589050293,232,4.99683141708374
151,threshold,5.0,-309.60992431640625,15.78640365600586,13731.6748046875,58.38632583618164,5.618968486785889,248,5.618968486785889
152,threshold,5.0,-260.2711486816406,12.4464111328125,11553.0166015625,62.40810775756836,4.9797515869140625,207,4.9892706871032715
153,threshold,5.0,-221.64642333984375,12.420504570007324,11423.4921875,54.77833557128906,4.96354866027832,239,4.984075546264648
154,threshold,5.0,-224.26446533203125,12.44247055053711,11182.2392578125,50.87296676635742,4.974380970001221,233,4.988481044769287
155,threshold,5.0,-303.7389831542969,16.212482452392578,11641.34765625,60.461002349853516,5.6942925453186035,248,5.6942925453186035
156,threshold,5.0,-257.01690673828125,12.493881225585938,13335.6162109375,54.87511444091797,4.981559753417969,204,4.998775959014893
157,threshold,5.0,-277.00543212890625,14.60113525390625,12327.080078125,57.83705139160156,5.403912544250488,248,5.403912544250488
158,threshold,5.0,-232.13677978515625,12.369400024414062,12612.6806640625,56.14502716064453,4.947206497192383,176,4.973811626434326
159,threshold,5.0,-310.89300537109375,17.417236328125,11245.58203125,60.15243148803711,5.902073383331299,248,5.902073383331299
160,threshold,5.0,-235.7078094482422,12.649755477905273,10208.03125,58.02047348022461,5.029861927032471,248,5.029861927032471
