sampler,nfe,step_mult,fid_vanilla,fid_anm,delta_fid,relative_delta_fid,kid_vanilla,kid_anm,delta_kid,anm_wins_fid,anm_wins_kid
ngd,50,1.0,219.4598087121744,220.247782451466,0.7879737392916013,0.003590515019198998,0.2313843158690992,0.2325010551362966,0.0011167392671974086,False,False
ngd,50,1.5,66.24196873619371,63.64725899561006,-2.594709740583653,-0.03917017851502863,0.0541745194530729,0.0508480324499009,-0.0033264870031720004,True,True
ngd,50,2.0,48.52646281546129,46.37571832988857,-2.150744485572716,-0.04432106444171849,0.0376242737635136,0.0349189385611042,-0.002705335202409398,True,True
ngd,100,0.5,214.1712790370586,214.8255954597876,0.6543164227289822,0.0030551081623589878,0.2239364723065454,0.2248041309936013,0.0008676586870559055,False,False
ngd,100,1.0,47.83067929035968,45.83289290161582,-1.9977863887438616,-0.04176788660299285,0.0366670095000993,0.0342594409788453,-0.002407568521254004,True,True
ngd,100,1.5,46.23476062046035,44.33552028572694,-1.8992403347334061,-0.041078191154145,0.0348366366383418,0.032472069397681,-0.0023645672406608018,True,True
ngd,100,2.0,46.05281401160482,44.13951900080701,-1.9132950107978104,-0.04154566994137818,0.0346216244352178,0.0321580996105543,-0.002463524824663506,True,True
ngd,250,0.5,46.41443198223806,44.504314008992765,-1.910117973245292,-0.04115353547741915,0.0350487520198918,0.0326796214305257,-0.0023691305893661016,True,True
ngd,250,1.0,45.44642489544776,43.66409044077511,-1.7823344546726503,-0.039218364453816074,0.0336273880215736,0.0313327911589705,-0.002294596862603096,True,True
ngd,250,1.5,45.46366200190721,43.70591679817903,-1.7577452037281773,-0.0386626401466393,0.0332839396378335,0.0309099070511431,-0.0023740325866903993,True,True
ngd,250,2.0,45.83126814412293,44.30814059300235,-1.5231275511205808,-0.03323337129426334,0.0334549201128264,0.0311460376209978,-0.0023088824918286004,True,True
